CurrencyISO	Language	CurrencyName	Money	Symbol
AFN	EN	Afghani	افغانۍ	؋
DZD	EN	Algerian Dinar	دينار	د
ARS	EN	Argentine Peso	Peso	$
AMD	EN	Armenian Dram	Դրամ	դ
AWG	EN	Aruban Guilder	Florijn	A
AUD	EN	Australian Dollar	Dollar	$
AZN	EN	Azerbaijanian Manat	Manatı	м
BSD	EN	Bahamian Dollar	Dollar	B
BHD	EN	Bahraini Dinar	دينار	.
THB	EN	Baht	บาทไทย	฿
PAB	EN	Balboa	Balboa	B
BBD	EN	Barbados Dollar	Dollar	B
BYR	EN	Belarussian Ruble	Рубель	B
BZD	EN	Belize Dollar	Dollar	B
BMD	EN	Bermudian Dollar	Dollar	B
VEF	EN	Bolivar Fuerte	Bolívar	B
BOB	EN	Boliviano	Boliviano	B
BRL	EN	Brazilian Real	Real	R
BND	EN	Brunei Dollar	Ringgit	B
BGN	EN	Bulgarian Lev	лев	л
BIF	EN	Burundi Franc	Franc	F
CAD	EN	Canadian Dollar	Dollar	$
CVE	EN	Cape Verde Escudo	Escudo	E
KYD	EN	Cayman Islands Dollar	Dollar	$
GHS	EN	Cedi	Cedi	G
XAF	EN	CFA Franc	Franc	C
XOF	EN	CFA Franc	Franc	C
XPF	EN	CFP Franc	Franc	F
CLP	EN	Chilean Peso	Peso	$
CNY	EN	Chinese Yuan	人民币	¥
COP	EN	Colombian Peso	Peso	C
KMF	EN	Comoro Franc	Franc	F
CDF	EN	Congolese Franc	Franc	F
BAM	EN	Convertible Marks	Marka	K
NIO	EN	Cordoba Oro	Córdoba	C
CRC	EN	Costa Rican Colon	Colón	₡
HRK	EN	Croatian Kuna	Kuna	k
CUP	EN	Cuban Peso	Peso	$
CZK	EN	Czech Koruna	Koruna	K
GMD	EN	Dalasi	Dalasi	D
DKK	EN	Danish Krone	Krone	K
MKD	EN	Denar	Денар	д
DJF	EN	Djibouti Franc	الفرنك	F
STD	EN	Dobra	Dobra	D
DOP	EN	Dominican Peso	Peso	R
VND	EN	Dong	đồng	₫
XCD	EN	East Caribbean Dollar	Dollar	E
EGP	EN	Egyptian Pound	الجنيه	£
ETB	EN	Ethiopian Birr	Birr	B
EUR	EN	Euro	Euro	€
FKP	EN	Falkland Islands Pound	Pound	£
FJD	EN	Fiji Dollar	Dollar	F
GIP	EN	Gibraltar Pound	Pound	£
HTG	EN	Gourde	Gourde	G
PYG	EN	Guarani	Guaraní	₲
GNF	EN	Guinea Franc	Franc	F
GWP	EN	Guinea-Bissau Peso	Peso	$
GYD	EN	Guyana Dollar	Dollar	G
HKD	EN	Hong Kong Dollar	香港圓	H
UAH	EN	Hryvnia	Гривня	₴
HUF	EN	Hungary Forint	Forint	F
ISK	EN	Iceland Krona	Króna	k
INR	EN	Indian Rupee	Rupee	R
IRR	EN	Iranian Rial	﷼	﷼
IQD	EN	Iraqi Dinar	دينار	ع
ILS	EN	Israeli Sheqel	שקל	₪
JMD	EN	Jamaican Dollar	Dollar	$
JPY	EN	Japan Yen	日本円	¥
JOD	EN	Jordanian Dinar	دينار	د
KES	EN	Kenyan Shilling	Shilling	K
PGK	EN	Kina	Kina	K
LAK	EN	Kip	ກີບ	₭
EEK	EN	Kroon	Kroon	K
KWD	EN	Kuwaiti Dinar	دينار	د
MWK	EN	Kwacha	Kwacha	M
AOA	EN	Kwanza	Kwanza	K
MMK	EN	Kyat	Kyat	K
GEL	EN	Lari	ლარი	l
LVL	EN	Latvian Lats	Lats	L
LBP	EN	Lebanese Pound	ليرة,	ل
ALL	EN	Lek	Leku	L
HNL	EN	Lempira	Lempira	L
SLL	EN	Leone	Leone	L
LRD	EN	Liberian Dollar	Dollar	L
LYD	EN	Libyan Dinar	دينار	ل
SZL	EN	Lilangeni	Lilangeni	L
LTL	EN	Lithuanian Litas	Litas	L
LSL	EN	Loti	Loti	L
MGA	EN	Malagasy Ariary	Ariary	F
MYR	EN	Malaysian Ringgit	ريڠڬيت	R
TMT	EN	Manat	Манат	m
MUR	EN	Mauritius Rupee	Roupie	R
MZN	EN	Metical	Metical	M
MXN	EN	Mexican Peso	Peso	$
MDL	EN	Moldovan Leu	Leu	l
MAD	EN	Moroccan Dirham	درهم	د
NGN	EN	Naira	Naira	₦
ERN	EN	Nakfa	Nakfa	N
NAD	EN	Namibia Dollar	Dollar	N
NPR	EN	Nepalese Rupee	Rupee	N
ANG	EN	Netherlands Antillian Guilder	Gulden	N
RON	EN	New Leu	Leu	L
NZD	EN	New Zealand Dollar	Dollar	$
BTN	EN	Ngultrum	དངུལ་ཀྲམ	N
KPW	EN	North Korean Won	원	₩
NOK	EN	Norwegian Krone	Krone	k
PEN	EN	Nuevo Sol	Sol	S
MRO	EN	Ouguiya	أوقية	U
TOP	EN	Pa'anga	Pa'anga	T
PKR	EN	Pakistan Rupee	Rupee	R
MOP	EN	Pataca	澳門圓	M
UYU	EN	Peso Uruguayo	Peso	$
PHP	EN	Philippine Peso	Piso	₱
PLN	EN	Polish Zloty	Złoty	z
GBP	EN	Pound Sterling	Pound	£
BWP	EN	Pula	Pula	P
QAR	EN	Qatari Rial	ريال	ر
GTQ	EN	Quetzal	Quetzal	Q
ZAR	EN	Rand	Rand	R
OMR	EN	Rial Omani	ريال	ر
KHR	EN	Riel	Riel	r
MVR	EN	Rufiyaa	Rufiyaa	R
IDR	EN	Rupiah	Rupiah	R
RUB	EN	Russian Ruble	Рубль	р
RWF	EN	Rwanda Franc	Franc	R
SHP	EN	Saint Helena Pound	Pound	£
SVC	EN	Salvadoran Colon	Colón	₡
SAR	EN	Saudi Riyal	ريال	ر
RSD	EN	Serbian Dinar	Динар	д
SCR	EN	Seychelles Rupee	Roupie	S
SGD	EN	Singapore Dollar	新加坡元	S
SBD	EN	Solomon Islands Dollar	Dollar	S
KGS	EN	Som	сом	с
SOS	EN	Somali Shilling	Shilin	S
TJS	EN	Somoni	Сомонӣ	С
LKR	EN	Sri Lanka Rupee	Rupee	R
SDG	EN	Sudanese Pound	جنيه	£
SRD	EN	Surinam Dollar	Dollar	$
SEK	EN	Swedish Krona	Krona	k
CHF	EN	Swiss Franc	Franc	F
SYP	EN	Syrian Pound	الليرة	S
TWD	EN	Taiwan Dollar	新臺幣	$
BDT	EN	Taka	টাকা	৳
WST	EN	Tala	Tālā	W
TZS	EN	Tanzanian Shilling	Shilingi	/
KZT	EN	Tenge	Теңгесі	〒
TTD	EN	Trinidad and Tobago Dollar	Dollar	$
MNT	EN	Tugrik	Төгрөг	₮
TND	EN	Tunisian Dinar	دينار	د
TRY	EN	Turkish Lira	Lirası	T
AED	EN	UAE Dirham	درهم	د
UGX	EN	Uganda Shilling	Shilling	U
USD	EN	US Dollar	Dollar	$
UZS	EN	Uzbekistan Sum	Сўм	с
VUV	EN	Vatu	Vatu	V
KRW	EN	Won	원	₩
YER	EN	Yemeni Rial	ريال	ر
ZMK	EN	Zambian Kwacha	Kwacha	Z
ZWL	EN	Zimbabwe Dollar	Dollar	$
AFN	ES	Afghani	افغانۍ	؋
THB	ES	Baht	บาทไทย	฿
PAB	ES	Balboa	Balboa	B
